id,tema,claim_sustentado,url_ou_referencia,data_consulta,tipo_fonte,escopo,versao,status_maturidade,disponibilidade,licenca,custo,episodios,ressalva
P03,Projeto privado,"Há groups; owners; access; contratos; unit tests e exposures em partes do portfólio.",internal://projeto-privado/governanca,2026-09-01,repositório privado autorizado,metadados dbt,0683a9f,observado,privado,sem licença pública,n/a,"5;6;7;8",Adoção não é uniforme entre projetos
P04,Projeto privado,"Não foram localizados semantic models ou métricas como código.",internal://projeto-privado/semantic-audit,2026-09-01,repositório privado autorizado,busca estática,0683a9f,não localizado,privado,sem licença pública,n/a,"2;3;4",Ausência em busca estática não prova ausência fora do commit
P05,Projeto privado,"Model versions e source freshness aparecem em documentação; não como configuração executável localizada.",internal://projeto-privado/quality-audit,2026-09-01,repositório privado autorizado,busca estática,0683a9f,documentado,privado,sem licença pública,n/a,"5;6",Não houve execução dos projetos
P06,Projeto privado,"Não foram encontrados state:modified ou --defer nos workflows auditados.",internal://projeto-privado/ci-audit,2026-09-01,repositório privado autorizado,busca estática,0683a9f,não localizado,privado,sem licença pública,n/a,9,Workflows externos ao repositório não foram avaliados
P07,Projeto privado,"Há incrementais merge/insert_overwrite sem is_incremental localizado nos modelos auditados.",internal://projeto-privado/incremental-audit,2026-09-01,repositório privado autorizado,busca estática,0683a9f,observado,privado,sem licença pública,n/a,10,Não permite concluir custo sem query history
P08,Projeto privado,"A flag de microbatch aparece; event_time; batch_size e lookback não foram localizados.",internal://projeto-privado/microbatch-audit,2026-09-01,repositório privado autorizado,busca estática,0683a9f,configuração incompleta,privado,sem licença pública,n/a,10,Flag isolada não comprova execução microbatch
O01,Core,"dbt Core 1.12 é o baseline estável e suportado da temporada.",https://github.com/dbt-labs/dbt-core/releases/tag/v1.12.0,2026-09-01,release oficial,Core,1.12,GA/open,público,Apache 2.0,gratuito,"1-12",Revalidar janela de suporte antes da gravação
O02,Core,"A matriz oficial diferencia suporte entre Core v1; v2/Fusion e adapters.",https://docs.getdbt.com/docs/dbt/supported-features,2026-09-01,documentação oficial,versões/adapters,atual,variável,público,mista,variável,"1;Radar",Página muda com frequência
O03,Core 2.0,"Core 2.0 aberto permanece beta na data de corte.",https://docs.getdbt.com/docs/local/install-dbt-v2,2026-09-01,documentação oficial,Core 2.0,2.0,beta,público,Apache 2.0,gratuito,Radar,Não usar como critério de aceite
O04,Fusion,"Fusion usa licença de produto própria e maturidade varia por superfície/adapter.",https://www.getdbt.com/dbt-fusion-engine-license-agreement,2026-09-01,termo oficial,Fusion,v2,preview/variável,público,proprietária,uso conforme termos,Radar,Não interpretar como aconselhamento jurídico
O05,Semântica,"O formato recente aninha semantic_model no model e define entidades/dimensões nas colunas.",https://docs.getdbt.com/docs/build/latest-metrics-spec,2026-09-01,documentação oficial,Core/MetricFlow,1.12,disponível,público,Apache 2.0 no Core,gratuito,"2;3;4",Spec pode evoluir
O06,MetricFlow,"MetricFlow compila consultas semânticas e o repositório atual é Apache 2.0.",https://github.com/dbt-labs/metricflow,2026-09-01,repositório oficial,motor semântico,0.212.0,open,público,Apache 2.0,gratuito,"3;4",Versões antigas tiveram outras licenças; registrar a versão usada
O07,OSI,"O Core 1.12 gera osi_document.json no laboratório a partir do projeto semântico.",lab://target/osi_document.json,2026-09-01,artifact reproduzido,laboratório,Core 1.12.3,medido,local,Apache 2.0,gratuito,"1;4",Artifact local; interoperabilidade do consumidor deve ser validada separadamente
O08,Contratos,"Contracts enforced validam nomes/tipos antes da materialização.",https://docs.getdbt.com/docs/mesh/govern/model-contracts,2026-09-01,documentação oficial,Core,1.12,GA,público,Apache 2.0,gratuito,5,Constraints físicas variam por adapter
O09,Versões,"latest_version seleciona a versão padrão e versions permite coexistência/depreciação.",https://docs.getdbt.com/docs/mesh/govern/model-versions,2026-09-01,documentação oficial,Core,1.12,GA,público,Apache 2.0,gratuito,5,Manter duas versões tem custo
O10,Unit tests,"Unit tests validam SQL com entradas estáticas antes da materialização.",https://docs.getdbt.com/docs/build/unit-tests,2026-09-01,documentação oficial,Core,1.12,GA,público,Apache 2.0,gratuito,6,Caveats variam por adapter/recurso SQL
O11,Freshness,"Sources podem declarar freshness e loaded_at_field.",https://docs.getdbt.com/docs/build/sources#source-data-freshness,2026-09-01,documentação oficial,Core,1.12,GA,público,Apache 2.0,gratuito,6,Não substitui observabilidade operacional
O12,Governança,"Groups; access e exposures são recursos do projeto/manifest.",https://docs.getdbt.com/docs/build/groups,2026-09-01,documentação oficial,Core,1.12,GA,público,Apache 2.0,gratuito,"7;8",Metadado sem processo não garante governança
O13,Packages,"Packages e interfaces públicas permitem modularizar antes de Mesh gerenciado.",https://docs.getdbt.com/docs/build/packages,2026-09-01,documentação oficial,Core,1.12,GA,público,Apache 2.0,gratuito,8,Dependência privada exige autenticação adequada
O14,Mesh,"Cross-project refs e experiência gerenciada dependem de oferta compatível.",https://docs.getdbt.com/docs/mesh/about-mesh,2026-09-01,documentação oficial,Platform,atual,GA conforme plano,público,proprietária,Enterprise,15,Não é pré-requisito para data products em um projeto
O15,State aberto,"state:modified e defer usam artifacts e estão disponíveis no Core.",https://docs.getdbt.com/reference/node-selection/defer,2026-09-01,documentação oficial,Core,1.12,GA,público,Apache 2.0,gratuito,9,Defer pode misturar ambientes em testes
O16,dbt State produto,"O produto dbt State é preview e distinto da seleção por estado do Core.",https://docs.getdbt.com/,2026-09-01,documentação oficial,produto dbt State,atual,preview,público,proprietária,cobrança/trial vigente,16,Revalidar preço e prazo antes de gravar
O17,Microbatch,"Microbatch requer série temporal/event_time e suporte do adapter.",https://docs.getdbt.com/docs/build/incremental-microbatch,2026-09-01,documentação oficial,Core/adapters,1.12,GA onde suportado,público,Apache 2.0,gratuito,10,Sem event_time no upstream pode haver full scan por lote
O18,MCP,"dbt MCP é Apache 2.0 e fornece ferramentas para Core; Fusion e Platform.",https://github.com/dbt-labs/dbt-mcp,2026-09-01,repositório oficial,servidor MCP,2.2.0 no lab,open,público,Apache 2.0,gratuito,"11;12",Toolsets Platform exigem conta/variáveis
O19,MCP local,"CLI tools funcionam sem conta; Semantic Layer; Discovery; Admin e SQL exigem Platform.",https://github.com/dbt-labs/docs.getdbt.com/blob/current/website/docs/docs/dbt-ai/setup-local-mcp.md,2026-09-01,documentação oficial,MCP self-hosted,atual,disponível,público,mista,local gratuito; Platform conforme plano,"11;14;16",Toolsets auto-desabilitam sem variáveis
O20,MCP segurança,"Ferramentas CLI podem modificar dados; allowlist deve expor apenas o necessário.",https://docs.getdbt.com/docs/dbt-ai/mcp-available-tools,2026-09-01,documentação oficial,MCP,atual,disponível,público,mista,variável,11,Allowlist não substitui IAM
O21,DuckDB UI,"A extensão UI inicia um servidor local; usa por padrão a porta 4213 e executa consultas no DuckDB local.",https://duckdb.org/docs/current/core_extensions/ui,2026-09-02,documentação oficial,DuckDB UI,1.5.5 no lab,disponível/extensão third-party,público,termos do componente,gratuito,Aula 0,"Mantida pela MotherDuck; é opcional e requer instalação inicial da extensão"
O22,Codespaces portas,"Portas encaminhadas em Codespaces são privadas por padrão e exigem autenticação do usuário.",https://docs.github.com/en/codespaces/reference/security-in-github-codespaces,2026-09-02,documentação oficial,GitHub Codespaces,atual,GA,público,termos GitHub,franquia/plano vigente,Aula 0,"Não alterar a porta do curso para pública; revalidar política antes da gravação"
C01,Case Inventa,"O case publica 83 métricas e redução de 90% na manutenção.",https://www.getdbt.com/case-studies/inventa,2026-09-01,case comercial,empresa/fornecedor,n/a,publicado,público,dbt Platform,contratado,"3;4;14",Resultado reportado pela empresa/dbt Labs
C02,Case Bilt,"O case publica redução de 80% nos custos de analytics e uso de semântica para IA.",https://www.getdbt.com/case-studies/bilt-rewards,2026-09-01,case comercial,empresa/fornecedor,n/a,publicado,público,dbt Platform,contratado,"10;12;14",Resultado reportado pela empresa/dbt Labs
C03,Case impact.com,"O case descreve Semantic Layer como interface governada para agentes.",https://www.getdbt.com/case-studies/impact.com,2026-09-01,case comercial,empresa/fornecedor,n/a,publicado,público,dbt Platform,contratado,"11;12;16",Resultado reportado pela empresa/dbt Labs
C04,Case Symend,"O case publica redução de 70% no consumo do warehouse associada a incrementais e práticas de plataforma.",https://www.getdbt.com/case-studies/symend,2026-09-01,case comercial,empresa/fornecedor,n/a,publicado,público,dbt Platform,contratado,10,Resultado reportado pela empresa/dbt Labs
C05,Case M1,"O conteúdo relata MCP fornecendo contexto para respostas mais confiáveis.",https://www.getdbt.com/blog/dbt-mcp-server-reliable-ai,2026-09-01,blog do fornecedor,empresa/fornecedor,n/a,publicado,público,dbt Platform/MCP,variável,"11;12;16",Resultado reportado qualitativamente pela empresa/dbt Labs; sem benchmark independente
A01,Planos,"Developer é gratuito; novos usuários recebem trial Starter de 14 dias; limites e preço estão publicados.",https://www.getdbt.com/pricing,2026-09-01,página oficial,dbt Platform,atual,oferta vigente,público,proprietária,"Developer gratuito; Starter pago","13;14",Revalidar antes de ativar/gravar
A02,Champions,"O programa apoia criadores/comunidade e inscrições estavam fechadas com reabertura após Summit.",https://www.getdbt.com/dbt-champions,2026-09-01,página oficial,comunidade,coorte 2026,programa vigente,público,n/a,sem preço,13,Participação não garante acesso Enterprise
A03,Comunidade,"O repositório MCP orienta usar issues ou o canal #tools-dbt-mcp no Slack.",https://github.com/dbt-labs/dbt-mcp,2026-09-01,repositório oficial,comunidade MCP,atual,disponível,público,n/a,gratuito,"11;13",Seguir regras da comunidade
